pybullet build time: Nov 28 2023 23:45:17
[train] phase=4 algo=ppo n_envs=8 steps=2,000,000 frame_stack=3 -> runs/phase4_descend_jitter2.5x
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
[train] warm-starting from runs/phase3_ppo_best/model.zip
[train] airspace-height anneal 0.0 -> 1.0 over 50% of training (Task 1b descend-only)
Logging to runs/phase4_descend_jitter2.5x/tb/PPO_2
--------------------------------------
| manipularl/             |          |
|    airspace_height_frac | 0.0041   |
|    collision_rate       | 0.843    |
|    grasp_failure_rate   | 0.838    |
|    insert_depth_mean    | 0        |
|    insert_tilt_deg_mean | 10.5     |
|    success_rate         | 0        |
| rollout/                |          |
|    ep_len_mean          | 43.1     |
|    ep_rew_mean          | -9.55    |
| time/                   |          |
|    fps                  | 432      |
|    iterations           | 1        |
|    time_elapsed         | 9        |
|    total_timesteps      | 4096     |
--------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.00819    |
|    collision_rate       | 0.81       |
|    grasp_failure_rate   | 0.781      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 11.1       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 43.8       |
|    ep_rew_mean          | -7.94      |
| time/                   |            |
|    fps                  | 417        |
|    iterations           | 2          |
|    time_elapsed         | 19         |
|    total_timesteps      | 8192       |
| train/                  |            |
|    approx_kl            | 0.06084738 |
|    clip_fraction        | 0.354      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.3      |
|    explained_variance   | -1.24      |
|    learning_rate        | 0.0003     |
|    loss                 | 13         |
|    n_updates            | 13350      |
|    policy_gradient_loss | -0.037     |
|    std                  | 3.29       |
|    value_loss           | 61.4       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0123     |
|    collision_rate       | 0.84       |
|    grasp_failure_rate   | 0.698      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 9.34       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 41.5       |
|    ep_rew_mean          | -8.7       |
| time/                   |            |
|    fps                  | 422        |
|    iterations           | 3          |
|    time_elapsed         | 29         |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.06539819 |
|    clip_fraction        | 0.339      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -0.436     |
|    learning_rate        | 0.0003     |
|    loss                 | 7.42       |
|    n_updates            | 13360      |
|    policy_gradient_loss | -0.0574    |
|    std                  | 3.29       |
|    value_loss           | 30.8       |
----------------------------------------
----------------------------------------
| manipularl/             |            |
|    airspace_height_frac | 0.0164     |
|    collision_rate       | 0.71       |
|    grasp_failure_rate   | 0.725      |
|    insert_depth_mean    | 0          |
|    insert_tilt_deg_mean | 8.87       |
|    success_rate         | 0          |
| rollout/                |            |
|    ep_len_mean          | 59.6       |
|    ep_rew_mean          | -11        |
| time/                   |            |
|    fps                  | 436        |
|    iterations           | 4          |
|    time_elapsed         | 37         |
|    total_timesteps      | 16384      |
| train/                  |            |
|    approx_kl            | 0.08919583 |
|    clip_fraction        | 0.378      |
|    clip_range           | 0.2        |
|    entropy_loss         | -17.4      |
|    explained_variance   | -1         |
