pybullet build time: Nov 28 2023 23:45:17
  50/800 episodes, 1 success, 410 transitions kept
  100/800 episodes, 1 success, 1610 transitions kept
  150/800 episodes, 1 success, 2010 transitions kept
  200/800 episodes, 1 success, 2810 transitions kept
  250/800 episodes, 1 success, 4010 transitions kept
  300/800 episodes, 2 success, 4420 transitions kept
  350/800 episodes, 2 success, 5846 transitions kept
  400/800 episodes, 3 success, 6256 transitions kept
  450/800 episodes, 3 success, 6256 transitions kept
  500/800 episodes, 5 success, 7005 transitions kept
  550/800 episodes, 5 success, 7805 transitions kept
  600/800 episodes, 5 success, 7805 transitions kept
  650/800 episodes, 5 success, 7805 transitions kept
  700/800 episodes, 6 success, 8044 transitions kept
  750/800 episodes, 7 success, 8854 transitions kept
  800/800 episodes, 7 success, 8854 transitions kept

[collect] scripted expert 7/800 = 1% success
[collect] kept 8854 transitions (obs dim 369) -> runs/demos_phase4/demos.npz
