pybullet build time: Nov 28 2023 23:45:17
[train] phase=4 algo=ppo n_envs=8 steps=2,500,000 frame_stack=3 -> runs/phase4_full_dream_v3
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
pybullet build time: Nov 28 2023 23:45:17
[train] warm-starting from runs/phase3_ppo_best/model.zip
[train] Dyna-style dream augmentation: model=runs/dynamics_model_full4.pt horizon=8 dream_env_frac=100% n_branches=100
Logging to runs/phase4_full_dream_v3/tb/PPO_1
----------------------------------------
| manipularl/               |          |
|    collision_rate         | 0.455    |
|    dream_calls_cumulative | 800      |
|    dream_steps_cumulative | 6312     |
|    grasp_failure_rate     | 0.866    |
|    insert_depth_mean      | 0        |
|    insert_tilt_deg_mean   | 0.000799 |
|    success_rate           | 0        |
| rollout/                  |          |
|    ep_len_mean            | 258      |
|    ep_rew_mean            | -18.2    |
| time/                     |          |
|    fps                    | 346      |
|    iterations             | 1        |
|    time_elapsed           | 11       |
|    total_timesteps        | 4096     |
----------------------------------------
-----------------------------------------
| manipularl/               |           |
|    collision_rate         | 0.464     |
|    dream_calls_cumulative | 1600      |
|    dream_steps_cumulative | 12706     |
|    grasp_failure_rate     | 0.9       |
|    insert_depth_mean      | 0         |
|    insert_tilt_deg_mean   | 0.005     |
|    success_rate           | 0         |
| rollout/                  |           |
|    ep_len_mean            | 252       |
|    ep_rew_mean            | -16.5     |
| time/                     |           |
|    fps                    | 373       |
|    iterations             | 2         |
|    time_elapsed           | 21        |
|    total_timesteps        | 8192      |
| train/                    |           |
|    approx_kl              | 0.0932276 |
|    clip_fraction          | 0.371     |
|    clip_range             | 0.2       |
|    entropy_loss           | -17.3     |
|    explained_variance     | 0.405     |
|    learning_rate          | 0.0003    |
|    loss                   | 4.54      |
|    n_updates              | 13350     |
|    policy_gradient_loss   | -0.00469  |
|    std                    | 3.29      |
|    value_loss             | 27.7      |
-----------------------------------------
------------------------------------------
| manipularl/               |            |
|    collision_rate         | 0.488      |
|    dream_calls_cumulative | 2400       |
|    dream_steps_cumulative | 19096      |
|    grasp_failure_rate     | 0.908      |
|    insert_depth_mean      | 0          |
|    insert_tilt_deg_mean   | 0.00635    |
|    success_rate           | 0          |
| rollout/                  |            |
|    ep_len_mean            | 260        |
|    ep_rew_mean            | -17.4      |
| time/                     |            |
|    fps                    | 390        |
|    iterations             | 3          |
|    time_elapsed           | 31         |
