pregrasp_ok,min_ee_peg,grasp_formed,t_first_grasp,max_peg_z,min_pg_grasped,reached_target,released_after_reach,success,steps
1,0.01762555942524842,1,0,0.18812930961832444,0.01615039782905851,1,0,1,12
1,0.015438927309127166,1,0,0.2936223499995605,0.011458268745272272,1,0,1,28
1,0.015020018518177124,1,0,0.20860553697233147,0.027554640563550763,1,1,1,18
1,0.01899500305465697,1,0,0.3095612560344917,0.012358497569404627,1,0,1,22
1,0.012748955907555138,1,0,0.15163173523129866,0.021322266877192998,1,0,1,21
1,0.015126343010456839,1,0,0.3102945293496486,0.018026604869125724,1,0,1,21
1,0.018051052422527903,1,0,0.2391238590684516,0.013909884378392846,1,0,1,19
1,0.022854704667862047,1,0,0.2606977190629248,0.029803221547522664,1,0,1,16
1,0.018663956015255726,1,0,0.3417807981562582,0.026461971353384774,1,0,1,37
1,0.013556477262612353,1,0,0.1497895802147078,0.029763371521155296,1,0,1,13
1,0.014221671100209665,1,0,0.32347654187212593,0.012709003283866562,1,0,1,17
1,0.02871128179149276,1,0,0.28452866653290965,0.02719282942251463,1,0,1,23
1,0.01299917369150697,1,0,0.21756587816102316,0.020092327799291165,1,0,1,11
1,0.015723983769375584,1,0,0.2204774182411589,0.016845712130925734,1,1,1,41
1,0.019636821067368866,1,0,0.18221599829611343,0.0145454031279665,1,0,1,20
1,0.004276165874621611,1,0,0.26049912897108246,0.029887674242143513,1,0,1,50
1,0.014219660141680676,1,0,0.3155173209741149,0.02748105333233509,1,0,1,22
1,0.013804173523551287,1,0,0.2615357038861116,0.029756254472804302,1,1,1,45
1,0.014155762199392102,1,0,0.18266453109108424,0.01866390262964286,1,0,1,13
1,0.015625532977725665,1,0,0.28090908291471006,0.023980472563081473,1,0,1,27
1,0.01657027366951431,1,0,0.3074458399054516,0.018832710548598235,1,0,1,36
1,0.04980857963781863,1,0,0.17613216348766048,0.025691640691034662,1,0,1,26
1,0.013620097796260411,1,0,0.24634751933113408,0.028066625167857604,1,0,1,11
1,0.006834258375475851,1,0,0.2012876293895827,0.01575785039085166,1,0,1,19
1,0.019618265607757594,1,0,0.25696921856252647,0.023526166111953975,1,0,1,28
1,0.0034558552840704246,1,0,0.3527649555071417,0.023031283837923005,1,0,1,20
1,0.0180420962272543,1,0,0.18121909248663085,0.019228983036414165,1,0,1,23
1,0.018539056817771613,1,0,0.25842094663346626,0.02688974493397996,1,0,1,25
1,0.013073164023252624,1,0,0.3188365429043878,0.021820110582673524,1,0,1,55
1,0.015865175920815596,1,0,0.23612661777466792,0.027775130331094116,1,0,1,14
1,0.013282538891627652,1,0,0.23464305488663798,0.0271859916568852,1,0,1,21
1,0.043313021027382444,1,0,0.12075905191118345,0.025122675945344387,1,0,1,17
1,0.001998149606335624,1,0,0.14825272828008565,0.01010338800699391,1,0,1,31
1,0.017991206690326018,1,0,0.17508134225940922,0.02159071038013861,1,0,1,12
1,0.014584204385490226,1,0,0.28963139986632647,0.02121719874367952,1,0,1,17
1,0.021614148474317495,1,0,0.2453332920451764,0.010784897475848218,1,0,1,25
1,0.008066095005078154,1,0,0.1944757137132065,0.01516441650091682,1,0,1,16
1,0.01298390441852372,1,0,0.2419544378950621,0.012642291585098143,1,0,1,14
1,0.010658379977555818,1,0,0.2771580743486562,0.009033956464638887,1,0,1,43
1,0.019619820473341428,1,0,0.338194550774379,0.02368779144801971,1,0,1,23
1,0.01570625250330427,1,0,0.3299445513772893,0.023285372019333374,1,0,1,17
1,0.005400428686571733,1,0,0.3553195453725343,0.013299420651953863,1,0,1,28
1,0.020267929571471614,1,0,0.14089524759701424,0.009123876390520591,1,0,1,11
1,0.02956586138039528,1,0,0.20637222505431627,0.01986010407611294,1,0,1,21
1,0.02167849543971668,1,0,0.24990055693088237,0.024794077326855422,1,0,1,16
1,0.01353667159812377,1,0,0.27995145695523493,0.018485262064704643,1,0,1,17
1,0.01850446325466559,1,0,0.2346894092352648,0.014639035981130318,1,1,1,21
1,0.011904319483267674,1,0,0.25048721549686886,0.020791251213789722,1,0,1,16
1,0.013585972962942573,1,0,0.14061152186745937,0.014581254736361559,1,0,1,29
1,0.01343106374165248,1,0,0.18306523636323385,0.010864788315536224,1,0,1,32
1,0.040576786591377006,1,0,0.30459663969841744,0.01814672290639199,1,0,1,18
1,0.013261102479620193,1,0,0.2898118189188139,0.01508111050483861,1,0,1,28
1,0.02145659351034042,1,0,0.19604971373865826,0.014850361749535076,1,0,1,20
1,0.02110197240565099,1,0,0.3196109568468154,0.025587845298891125,1,0,1,17
1,0.018096826000891,1,0,0.2081443783641536,0.014606448758598654,1,0,1,19
1,0.01499668894699278,1,0,0.25495470237183154,0.019578857918451303,1,0,1,22
1,0.0039006336911640593,1,0,0.3310086583347857,0.022392416253521716,1,0,1,20
1,0.018135676755057905,1,0,0.32799699220745215,0.01021353623108096,1,0,1,23
1,0.015536333114399219,1,0,0.27659470847513695,0.017138748573751722,1,1,1,20
1,0.01586717873886829,1,0,0.39261956413316595,0.014393519995204326,1,0,1,33
1,0.012798042300004572,1,0,0.13394287181674958,0.012370881225320672,1,0,1,18
1,0.009097489788088184,1,0,0.17390878813676125,0.017268134708551184,1,0,1,20
1,0.015429952055489594,1,0,0.18517473934227513,0.010385219827081989,1,0,1,23
1,0.012281219284119826,1,0,0.21569788730539402,0.023318980006184896,1,0,1,30
1,0.02409949166190639,1,0,0.14590598363297325,0.025014524256595515,1,0,1,13
1,0.014263716894435962,1,0,0.27434235296482645,0.016431186065559624,1,0,1,18
1,0.015042004675707637,1,0,0.23656531280713794,0.021365400409615664,1,0,1,16
1,0.00988522252071172,1,0,0.24805345484445204,0.01489511664261491,1,0,1,47
1,0.013513072454627685,1,0,0.2119051808282395,0.028037390985897397,1,0,1,34
1,0.018168664838474593,1,0,0.2183476926355643,0.017368762911674118,1,0,1,18
1,0.016055890617672812,1,0,0.20208635608835104,0.024200377535346238,1,0,1,18
1,0.015891347197783387,1,0,0.30273175656239715,0.011463407176604634,1,0,1,38
1,0.006025763793795719,1,0,0.1506724465509919,0.026986604887562424,1,1,1,30
1,0.021172554086608657,1,0,0.30053459129248167,0.015975692855176332,1,1,1,18
1,0.013564282558668326,1,0,0.2813621286966777,0.020916054095353954,1,0,1,14
1,0.01921868860348428,1,0,0.26425985008595143,0.02898418048630219,1,0,1,21
1,0.013345619232254165,1,0,0.2794566769257286,0.025224339125740933,1,0,1,15
1,0.020208277410281424,1,0,0.3070709632945102,0.010159778391740053,1,0,1,21
1,0.015378831250671502,1,0,0.20964539001465182,0.02198578244294295,1,0,1,31
1,0.017816235287210994,1,0,0.26081467229770106,0.020860135047759618,1,0,1,19
1,0.01107732188130371,1,0,0.3217117259488829,0.019019979408653426,1,0,1,18
1,0.040173108562095876,1,0,0.3291432745869178,0.0093782624170364,1,0,1,28
1,0.006384366074453098,1,0,0.3697421219091848,0.021674516294188154,1,0,1,43
1,0.012778087745306303,1,0,0.24141402870159664,0.02943557907608805,1,0,1,14
1,0.013945088121477567,1,0,0.16456395257945033,0.006307526332753267,1,0,1,25
1,0.015185530176904674,1,0,0.2850263470426062,0.01154491957401696,1,0,1,14
1,0.015133047324816441,1,0,0.25098913818319785,0.02274065686369996,1,0,1,32
1,0.01681912108219726,1,0,0.32966054808176987,0.026086896625323874,1,0,1,27
1,0.018292311454391676,1,0,0.13360917972182657,0.0293528802468738,1,0,1,18
1,0.013719196056453262,1,0,0.3901533706555134,0.013633625081531374,1,1,1,33
1,0.013918220515183809,1,0,0.28351684295934054,0.021495070186974607,1,0,1,48
1,0.019930948252188,1,0,0.3417302249930335,0.025437854794935592,1,0,1,21
1,0.017216490191175108,1,0,0.1355082671524852,0.02097024597742307,1,0,1,7
1,0.004340911637656588,1,0,0.3374555564729055,0.023866903894113837,1,0,1,23
1,0.017611090380736553,1,0,0.23958488350791085,0.019498072091477192,1,0,1,17
1,0.014856715700060578,1,0,0.19317266878306763,0.02928297850882678,1,0,1,20
1,0.023431712523405798,1,0,0.3242942675212698,0.027940623653626394,1,0,1,29
1,0.015213766831964844,1,0,0.3512852499863482,0.028031743354874007,1,0,1,21
1,0.020510357923141664,1,0,0.2953203296550786,0.017996120553362843,1,0,1,16
1,0.016248933219518792,1,0,0.26971951011815615,0.029069612896896246,1,0,1,35
1,0.019740054930379336,1,0,0.24279922643923513,0.018086339710635828,1,0,1,20
1,0.01357913585649962,1,0,0.3315607984998409,0.024129841200194867,1,1,1,19
1,0.01541795907766838,1,0,0.3185635424111594,0.018735176500001848,1,0,1,20
1,0.01187500034879238,1,0,0.26459373949224885,0.012489155705320864,1,0,1,33
1,0.01650885720410487,1,0,0.2780133317411183,0.021647861650469682,1,0,1,21
1,0.018556417562794164,1,0,0.29321741861420036,0.007768356088401516,1,0,1,14
1,0.006829681001712847,1,0,0.2287642519229454,0.014731151209841578,1,0,1,13
1,0.013028914743483428,1,0,0.25631972960044486,0.01227222410566617,1,0,1,39
1,0.017729865863046063,1,0,0.2948837292996165,0.016407045988826526,1,0,1,21
1,0.015986325100772445,1,0,0.37410387350237095,0.028530694175154022,1,0,1,23
